instance_id,trip_key,train_number,departure_date,station_from,station_to,match_type,first_seen_kyiv,last_seen_kyiv,n_seen,last_delay_min,max_delay_min,min_delay_min,last_status,last_reliability,last_reason,n_stops,passed_count,last_stop_passed,finished,finished_at_kyiv,final_delay_min,instance_reason,after_monitoring_gap
733/734|Київ-Пас.|Дніпро-Головний|@20260924-0110,733/734|Київ-Пас.|Дніпро-Головний|,733/734,,Київ-Пас.,Дніпро-Головний,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,175,175,175,В дорозі,Висока,,10,7,0,0,,,first_seen,0
87/88|Дніпро-Головний|Ковель-Пас.|@20260924-0110,87/88|Дніпро-Головний|Ковель-Пас.|,87/88,,Дніпро-Головний,Ковель-Пас.,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,133,133,133,В дорозі,Висока,,32,9,0,0,,,first_seen,0
127/128|Дніпро-Головний|Львів|23.09@20260924-0110,127/128|Дніпро-Головний|Львів|23.09,127/128,23.09,Дніпро-Головний,Львів,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,105,105,105,В дорозі,Висока,,0,0,0,0,,,first_seen,0
31/32|Перемишль|Запоріжжя-1|@20260924-0110,31/32|Перемишль|Запоріжжя-1|,31/32,,Перемишль,Запоріжжя-1,,2026-09-24 01:10:25,2026-09-24 01:10:25,1,82,82,82,В дорозі,Висока,,0,0,0,0,,,delay_drop_245,0
7/8|Харків-Пас.|Одеса-Головна|@20260924-0110,7/8|Харків-Пас.|Одеса-Головна|,7/8,,Харків-Пас.,Одеса-Головна,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,68,68,68,В дорозі,Висока,,7,2,0,0,,,first_seen,0
37/38|Запоріжжя-1|Київ-Пас.|23.09@20260924-0110,37/38|Запоріжжя-1|Київ-Пас.|23.09,37/38,23.09,Запоріжжя-1,Київ-Пас.,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,59,59,59,В дорозі,Висока,,7,4,0,0,,,first_seen,0
237/238|Київ-Пас.|Ужгород|@20260924-0110,237/238|Київ-Пас.|Ужгород|,237/238,,Київ-Пас.,Ужгород,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,50,50,50,В дорозі,Висока,,0,0,0,0,,,first_seen,0
13/14|Київ-Пас.|Солотвино-1|@20260924-0110,13/14|Київ-Пас.|Солотвино-1|,13/14,,Київ-Пас.,Солотвино-1,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,50,50,50,В дорозі,Висока,,0,0,0,0,,,first_seen,0
77/78|Ковель-Пас.|Одеса-Головна|@20260924-0110,77/78|Ковель-Пас.|Одеса-Головна|,77/78,,Ковель-Пас.,Одеса-Головна,both,2026-09-24 01:10:25,2026-09-24 01:10:25,1,49,49,49,В дорозі,Висока,,28,11,0,0,,,first_seen,0
81/82|Київ-Пас.|Ужгород|@20260924-0110,81/82|Київ-Пас.|Ужгород|,81/82,,Київ-Пас.,Ужгород,endpoint,2026-09-24 01:10:25,2026-09-24 01:10:25,1,43,43,43,В дорозі,Висока,,0,0,0,0,,,first_seen,0
