snapshot_ts_kyiv,instance_id,trip_key,train_number,departure_date,station_from,station_to,delay_min,forecast_arrival,planned_arrival,status,reliability,reason,match_type,has_route,n_stops,passed_count,page_updated
2026-09-23 18:07:06,5/6|Запоріжжя-1|Івано-Франківськ|@20260923-1807,5/6|Запоріжжя-1|Івано-Франківськ|,5/6,,Запоріжжя-1,Івано-Франківськ,21,09:08,08:47,В дорозі,Висока,,transit,1,12,4,23 вересня 18:06
2026-09-23 22:02:40,293/294|Кривий Ріг-Головний|Рахів|@20260923-1807,293/294|Кривий Ріг-Головний|Рахів|,293/294,,Кривий Ріг-Головний,Рахів,558,20:44,,В дорозі,Висока,,,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,233/234|Чернівці|Кривий Ріг-Головний|23.09@20260923-1807,233/234|Чернівці|Кривий Ріг-Головний|23.09,233/234,23.09,Чернівці,Кривий Ріг-Головний,236,14:46,10:50,В дорозі,Висока,,transit,1,9,4,23 вересня 21:57
2026-09-23 22:02:40,749/750|Київ-Пас.|Ужгород|23.09@20260923-1807,749/750|Київ-Пас.|Ужгород|23.09,749/750,23.09,Київ-Пас.,Ужгород,234,04:17,00:23,В дорозі,Висока,,both,1,8,4,23 вересня 21:57
2026-09-23 22:02:40,3/4|Дніпро-Головний|Ужгород|23.09@20260923-1807,3/4|Дніпро-Головний|Ужгород|23.09,3/4,23.09,Дніпро-Головний,Ужгород,231,15:01,11:10,В дорозі,Висока,,both,1,15,5,23 вересня 21:57
2026-09-23 22:02:40,31/32|Запоріжжя-1|Перемишль|@20260923-2202,31/32|Запоріжжя-1|Перемишль|,31/32,,Запоріжжя-1,Перемишль,231,13:10,09:19,В дорозі,Висока,,transit,1,12,7,23 вересня 21:57
2026-09-23 22:02:40,293/294|Рахів|Кривий Ріг-Головний|@20260923-2202,293/294|Рахів|Кривий Ріг-Головний|,293/294,,Рахів,Кривий Ріг-Головний,169,13:39,10:50,В дорозі,Висока,,transit,1,15,10,23 вересня 21:57
2026-09-23 22:02:40,121/122|Миколаїв Пас.|Київ-Пас.|@20260923-1807,121/122|Миколаїв Пас.|Київ-Пас.|,121/122,,Миколаїв Пас.,Київ-Пас.,167,22:12,19:25,В дорозі,Висока,,both,1,18,17,23 вересня 21:57
2026-09-23 22:02:40,61/62|Дніпро-Головний|Івано-Франківськ|@20260923-1807,61/62|Дніпро-Головний|Івано-Франківськ|,61/62,,Дніпро-Головний,Івано-Франківськ,136,09:37,07:21,В дорозі,Висока,,both,1,13,9,23 вересня 21:57
2026-09-23 22:02:40,261/262|Дніпро-Головний|Чернівці|@20260923-1807,261/262|Дніпро-Головний|Чернівці|,261/262,,Дніпро-Головний,Чернівці,136,11:54,09:38,В дорозі,Висока,,both,1,16,9,23 вересня 21:57
2026-09-23 22:02:40,731/732|Дніпро-Головний|Київ-Пас.|@20260923-2202,731/732|Дніпро-Головний|Київ-Пас.|,731/732,,Дніпро-Головний,Київ-Пас.,124,00:23,22:19,В дорозі,Висока,,both,1,8,7,23 вересня 21:57
2026-09-23 22:02:40,285/286|Львів|Дніпро-Головний|23.09@20260923-1807,285/286|Львів|Дніпро-Головний|23.09,285/286,23.09,Львів,Дніпро-Головний,112,11:12,09:20,В дорозі,Висока,,both,1,27,8,23 вересня 21:57
2026-09-23 22:02:40,113/114|Харків-Пас.|Ужгород|@20260923-1807,113/114|Харків-Пас.|Ужгород|,113/114,,Харків-Пас.,Ужгород,102,08:33,06:51,В дорозі,Висока,,both,1,43,27,23 вересня 21:57
2026-09-23 22:02:40,41/42|Дніпро-Головний|Трускавець|23.09@20260923-1807,41/42|Дніпро-Головний|Трускавець|23.09,41/42,23.09,Дніпро-Головний,Трускавець,100,13:50,,В дорозі,Висока,,endpoint,0,0,0,23 вересня 21:57
2026-09-23 22:02:40,285/286|Дніпро-Головний|Львів|23.09@20260923-1807,285/286|Дніпро-Головний|Львів|23.09,285/286,23.09,Дніпро-Головний,Львів,100,11:13,09:33,В дорозі,Висока,,both,1,27,8,23 вересня 21:57
2026-09-23 22:02:40,5/6|Ясіня|Запоріжжя-1|@20260923-1807,5/6|Ясіня|Запоріжжя-1|,5/6,,Ясіня,Запоріжжя-1,87,11:35,10:08,В дорозі,Висока,,transit,1,18,8,23 вересня 21:57
2026-09-23 22:02:40,85/86|Львів|Дніпро-Головний|23.09@20260923-2202,85/86|Львів|Дніпро-Головний|23.09,85/86,23.09,Львів,Дніпро-Головний,86,09:24,07:58,В дорозі,Висока,,both,1,9,1,23 вересня 21:57
2026-09-23 22:02:40,715/716|Київ-Пас.|Перемишль|@20260923-1807,715/716|Київ-Пас.|Перемишль|,715/716,,Київ-Пас.,Перемишль,80,22:15,20:55,В дорозі,Висока,,both,1,7,6,23 вересня 21:57
2026-09-23 22:02:40,85/86|Дніпро-Головний|Львів|@20260923-1807,85/86|Дніпро-Головний|Львів|,85/86,,Дніпро-Головний,Львів,80,07:22,06:02,В дорозі,Висока,,both,1,11,7,23 вересня 21:57
2026-09-23 22:02:40,5/6|Запоріжжя-1|Івано-Франківськ|@20260923-1807,5/6|Запоріжжя-1|Івано-Франківськ|,5/6,,Запоріжжя-1,Івано-Франківськ,80,10:07,08:47,В дорозі,Висока,,transit,1,14,9,23 вересня 21:57
2026-09-23 22:02:40,1/2|Харків-Пас.|Рахів|@20260923-2202,1/2|Харків-Пас.|Рахів|,1/2,,Харків-Пас.,Рахів,78,11:13,09:55,В дорозі,Висока,,both,1,13,4,23 вересня 21:57
2026-09-23 22:02:40,3/4|Ужгород|Дніпро-Головний|@20260923-2202,3/4|Ужгород|Дніпро-Головний|,3/4,,Ужгород,Дніпро-Головний,77,13:29,12:12,В дорозі,Висока,,both,1,14,5,23 вересня 21:57
2026-09-23 22:02:40,107/108|Солотвино-1|Київ-Пас.|23.09@20260923-2202,107/108|Солотвино-1|Київ-Пас.|23.09,107/108,23.09,Солотвино-1,Київ-Пас.,75,12:41,11:26,В дорозі,Висока,,both,1,26,4,23 вересня 21:57
2026-09-23 22:02:40,63/64|Перемишль|Харків-Пас.|@20260923-1807,63/64|Перемишль|Харків-Пас.|,63/64,,Перемишль,Харків-Пас.,72,07:14,06:02,В дорозі,Висока,,both,1,12,4,23 вересня 21:57
